wins,pythag_wins,wins,yds_per_game,ydsvs_per_game,Pen_per_snap,Fum_per_snap,Rate,ypt,Int_per_Att,SPct,ypc,KRB_per_Rply,Rate_vs,PDPct,Intvs_per_Att,ypt_vs,SPct_vs,KRBvs_per_Rply,ypc_vs,PR_avg,KR_avg,Net_punt_vs,OppPR_avg,OppKR_avg,Net_punt,Punt_for
1.0,1.4,1.0,245.2,385.8,11.5,0.971,59.8,5.25,3.35,5.9,3.43,23.3,90.0,51.7,2.4,7.04,3.57,31.5,4.61,9.5,23.8,36.5,14.7,27.5,36.1,45.6
2.0,3.0,2.0,304.2,367.4,10.7,1.002,69.3,5.79,2.95,5.46,3.94,26.9,92.2,48.5,1.89,6.94,4.21,32.3,4.46,9.3,23.5,37.0,13.8,26.3,35.1,44.4
3.0,3.8,3.0,307.8,356.3,11.0,0.927,70.4,5.99,3.06,5.79,3.96,27.1,87.6,51.4,2.29,6.85,4.02,31.8,4.22,10.4,23.9,37.0,11.9,25.3,36.2,44.0
4.0,5.0,4.0,313.2,352.4,9.8,0.835,70.4,5.97,3.18,4.87,4.0,27.4,82.8,54.2,2.37,6.54,4.43,32.3,4.37,10.8,23.6,36.6,12.7,25.1,36.1,44.4
5.0,5.6,5.0,316.0,353.3,9.9,0.743,72.0,6.01,2.99,4.78,4.01,29.1,84.4,53.8,2.46,6.67,4.42,32.4,4.31,10.6,24.1,36.7,12.0,25.1,36.6,45.2
6.0,6.3,6.0,326.5,353.3,9.7,0.812,76.6,6.26,2.64,4.97,4.04,28.9,82.9,54.1,2.56,6.69,4.73,31.6,4.37,11.2,25.1,36.7,12.3,25.2,36.0,44.6
7.0,7.4,7.0,343.8,348.6,9.6,0.808,80.3,6.45,2.52,4.89,4.29,29.4,82.1,55.6,2.44,6.54,4.51,31.5,4.38,11.2,24.4,36.7,12.5,25.5,36.0,44.6
8.0,8.1,8.0,346.9,345.6,9.2,0.742,79.2,6.46,2.64,4.72,4.36,31.3,80.6,56.2,2.58,6.51,4.63,31.1,4.31,12.1,25.2,36.3,12.0,24.6,36.4,44.8
9.0,8.5,9.0,355.5,347.3,9.1,0.808,83.0,6.7,2.55,4.6,4.46,31.4,80.6,56.3,2.51,6.53,4.7,31.2,4.32,12.3,25.2,36.6,11.6,24.6,36.5,44.6
10.0,9.5,10.0,363.3,344.6,9.1,0.762,85.2,6.78,2.48,4.39,4.51,32.2,78.9,57.2,2.91,6.56,4.84,30.5,4.29,12.8,25.5,36.2,11.4,24.7,37.2,45.5
11.0,10.4,11.0,376.5,338.2,8.8,0.687,90.4,7.15,2.32,4.38,4.57,34.0,78.7,57.6,2.66,6.44,4.67,30.4,4.32,12.6,25.3,36.0,11.6,25.1,36.8,45.3
12.0,10.8,12.0,382.6,335.7,8.2,0.712,93.3,7.26,2.01,4.06,4.42,31.2,77.3,58.9,2.81,6.41,5.2,30.5,4.31,13.4,25.3,35.9,12.0,24.8,36.4,45.1
13.0,11.5,13.0,378.0,328.2,8.4,0.797,92.6,7.17,2.06,4.39,4.61,33.6,74.4,60.7,2.99,6.22,4.72,29.5,4.16,14.1,27.0,35.7,10.5,24.1,37.1,45.5
14.0,12.4,14.0,401.7,337.8,6.7,0.61,97.0,7.55,2.02,4.57,4.61,31.5,76.4,61.7,2.96,6.56,5.01,28.2,4.05,14.0,26.9,35.8,11.0,23.5,37.5,46.0
15.0,12.6,15.0,374.5,313.3,7.3,0.577,91.3,6.97,2.24,3.62,4.32,35.7,71.3,61.1,3.08,6.11,5.42,28.0,4.1,16.1,25.2,34.8,10.6,23.4,37.7,45.8
16.0,14.2,16.0,385.1,308.5,11.1,0.38,99.5,7.78,1.97,5.0,4.79,35.9,69.4,69.9,2.6,6.27,6.6,26.0,3.47,19.3,31.7,34.5,10.1,22.5,37.7,46.7
